environment,algorithm,optimal_score,seeds_count,mean_score,std_score,success_rate,avg_training_time_seconds
line_world,policy_iteration,0.999999,1,1.0,0.0,1.0,0.01795172691345215
line_world,value_iteration,0.999999,1,1.0,0.0,1.0,0.0002522468566894531
line_world,monte_carlo_es,0.999999,5,1.0,0.0,1.0,0.25421886444091796
line_world,on_policy_first_visit_mc,0.999999,5,1.0,0.0,1.0,0.5193305969238281
line_world,off_policy_mc,0.999999,5,1.0,0.0,1.0,0.3192745685577393
line_world,sarsa,0.999999,5,1.0,0.0,1.0,0.20409460067749025
line_world,q_learning,0.999999,5,1.0,0.0,1.0,0.25958986282348634
line_world,dyna_q,0.999999,5,1.0,0.0,1.0,0.519225788116455
grid_world,policy_iteration,0.9999930000209998,1,1.0,0.0,1.0,1.2960946559906006
grid_world,value_iteration,0.9999930000209998,1,1.0,0.0,1.0,0.057273149490356445
grid_world,monte_carlo_es,0.9999930000209998,5,1.0,0.0,1.0,0.7151939392089843
grid_world,on_policy_first_visit_mc,0.9999930000209998,5,0.0,0.0,0.0,8.813199043273926
grid_world,off_policy_mc,0.9999930000209998,5,1.0,0.0,1.0,3.7776371002197267
grid_world,sarsa,0.9999930000209998,5,0.8,0.4,0.8,10.554724979400635
grid_world,q_learning,0.9999930000209998,5,1.0,0.0,1.0,2.00805401802063
grid_world,dyna_q,0.9999930000209998,5,1.0,0.0,1.0,3.1407550811767577
two_round_rps,policy_iteration,0.9999989999999999,1,1.015,0.0,1.0,0.0009915828704833984
two_round_rps,value_iteration,0.9999989999999999,1,1.01,0.0,1.0,0.0003695487976074219
two_round_rps,monte_carlo_es,0.9999989999999999,5,1.0150000000000001,0.060580524923443825,1.0,0.200722074508667
two_round_rps,on_policy_first_visit_mc,0.9999989999999999,5,0.96,0.06855654600401041,0.8,0.5056729316711426
two_round_rps,off_policy_mc,0.9999989999999999,5,0.976,0.03397057550292603,1.0,0.22227163314819337
two_round_rps,sarsa,0.9999989999999999,5,0.945,0.0595818764390649,0.6,0.2009645938873291
two_round_rps,q_learning,0.9999989999999999,5,0.975,0.06099180272790764,0.8,0.1937993049621582
two_round_rps,dyna_q,0.9999989999999999,5,1.015,0.028809720581775857,1.0,0.3213768005371094
monty_hall_3_doors,policy_iteration,0.6666660000000001,1,0.645,0.0,1.0,0.0002777576446533203
monty_hall_3_doors,value_iteration,0.6666660000000001,1,0.645,0.0,1.0,0.00016117095947265625
monty_hall_3_doors,monte_carlo_es,0.6666660000000001,5,0.6819999999999999,0.034292856398964476,1.0,0.31890869140625
monty_hall_3_doors,on_policy_first_visit_mc,0.6666660000000001,5,0.6700000000000002,0.027018512172212593,1.0,0.6357378482818603
monty_hall_3_doors,off_policy_mc,0.6666660000000001,5,0.667,0.029257477676655562,1.0,0.3033320426940918
monty_hall_3_doors,sarsa,0.6666660000000001,5,0.6759999999999999,0.03307567081708243,1.0,0.25446209907531736
monty_hall_3_doors,q_learning,0.6666660000000001,5,0.6450000000000001,0.01923538406167136,1.0,0.2768594264984131
monty_hall_3_doors,dyna_q,0.6666660000000001,5,0.544,0.19272778730634563,0.6,0.447704553604126
monty_hall_5_doors,policy_iteration,0.7999976000024001,1,0.745,0.0,1.0,0.005529165267944336
monty_hall_5_doors,value_iteration,0.7999976000024001,1,0.735,0.0,1.0,0.00231170654296875
monty_hall_5_doors,monte_carlo_es,0.7999976000024001,5,0.783,0.027676705006196088,1.0,0.3730160713195801
monty_hall_5_doors,on_policy_first_visit_mc,0.7999976000024001,5,0.7939999999999999,0.02817800560721072,1.0,1.2108257293701172
monty_hall_5_doors,off_policy_mc,0.7999976000024001,5,0.7859999999999999,0.021307275752662534,1.0,0.5727242946624755
monty_hall_5_doors,sarsa,0.7999976000024001,5,0.744,0.09366963221877195,0.8,0.5492870330810546
monty_hall_5_doors,q_learning,0.7999976000024001,5,0.828,0.027676705006196088,1.0,0.6227334499359131
monty_hall_5_doors,dyna_q,0.7999976000024001,5,0.711,0.0830301150185883,0.6,0.9084742069244385
